v0 vs fee-aware MM -- DP at g = 0 .. 0.01 (11 points), torch-verified at 1 fee in 1
card a0=1.25 sd=0.025 f=0.02; torch 2000x1000, eval 200,000 paths, seeds 1234+offsets; quotes in $/GBP, EV in target currency per unit held
rederivation checks: grid argmax beats chosen optimum by <= -7.9e-11; |closed form - brute rule-integral| <= 9.7e-09
z_EV: torch EV vs the DP optimum, in eval SEs. z_fill: MC fill rate vs the DP rate model at the trained quote (binomial); the DP fill column is at the DP optimum

side A
   fee  DP quote       DP EV   DP fill  |  t quote    torch EV        SE   z_EV    t fill  z_fill
 0.000    1.2574    1.228074     0.384  |   1.2571    1.228066   5.9e-05   -0.1     0.388    -0.7
 0.001    1.2579    1.227607     0.357  |   1.2581    1.227605   5.9e-05   -0.0     0.354    +0.1
 0.002    1.2585    1.227174     0.329  |   1.2590    1.227127   5.8e-05   -0.8     0.321    -1.4
 0.003    1.2594    1.226778     0.299  |   1.2597    1.226780   5.7e-05   +0.0     0.295    -0.7
 0.004    1.2604    1.226419     0.268  |   1.2604    1.226412   5.7e-05   -0.1     0.267    -0.6
 0.005    1.2617    1.226101     0.235  |   1.2616    1.226024   5.7e-05   -1.3     0.236    -0.6
 0.006    1.2633    1.225824     0.201  |   1.2631    1.225772   5.6e-05   -0.9     0.203    -0.6
 0.007    1.2653    1.225590     0.167  |   1.2653    1.225627   5.6e-05   +0.7     0.168    +1.9
 0.008    1.2676    1.225399     0.133  |   1.2684    1.225328   5.6e-05   -1.3     0.126    -0.1
 0.009    1.2706    1.225250    0.0996  |   1.2717    1.225173   5.5e-05   -1.4    0.0916    -0.8
 0.010    1.2742    1.225142    0.0692  |   1.2745    1.225115   5.5e-05   -0.5    0.0667    -1.2

side B
   fee  DP quote       DP EV   DP fill  |  t quote    torch EV        SE   z_EV    t fill  z_fill
 0.000    1.2422    0.786132     0.378  |   1.2420    0.786175   3.7e-05   +1.2     0.376    +1.8
 0.001    1.2416    0.785839     0.349  |   1.2415    0.785847   3.7e-05   +0.2     0.349    +0.0
 0.002    1.2407    0.785569     0.319  |   1.2406    0.785617   3.7e-05   +1.3     0.318    +0.4
 0.003    1.2397    0.785324     0.287  |   1.2394    0.785344   3.7e-05   +0.6     0.283    +0.2
 0.004    1.2384    0.785105     0.254  |   1.2384    0.785122   3.6e-05   +0.5     0.254    +0.1
 0.005    1.2368    0.784912     0.219  |   1.2368    0.784984   3.6e-05   +2.0     0.221    +1.4
 0.006    1.2349    0.784748     0.184  |   1.2352    0.784776   3.6e-05   +0.8     0.186    -0.4
 0.007    1.2325    0.784613     0.148  |   1.2325    0.784582   3.6e-05   -0.9     0.147    -1.4
 0.008    1.2296    0.784506     0.113  |   1.2299    0.784494   3.6e-05   -0.3     0.116    +0.8
 0.009    1.2260    0.784426    0.0808  |   1.2263    0.784418   3.5e-05   -0.2     0.082    -0.9
 0.010    1.2216    0.784372     0.052  |   1.2196    0.784393   3.5e-05   +0.6    0.0438    -0.7
